1.1;Jakich wymiarów jest, według przepisów, boisko do gry? ;40x20 metrów;42x20 metrów;38x18 metrów;Długość pomiędzy 38 a 42 m, szerokość pomiędzy 18 a 22 metry;"";"";"";"";"";true;false;false;false;false;false;false;false;false
1.2;Jakie są wymagane wymiary w świetle bramki?;1.92 x 2.92 m;2.00 x 3.00 m;2.05 x 3.05 m;2.08 x 3.08 m;"";"";"";"";"";false;true;false;false;false;false;false;false;false
1.3;Jak szeroka jest linia bramkowa pomiędzy słupkami?;5 cm;6 cm;8 cm; 10 cm;"";"";"";"";"";false;false;true;false;false;false;false;false;false
2.1;Bramkarz A1 broni rzut, piłka przekracza linię końcową boiska zaraz po automatycznym sygnale kończącym grę. Sędziowie orientują się, że mecz zakończył się 5 minut za wcześnie. Zawodnicy wciąż pozostają na boisku. Jak należy wznowić grę?; Rzut od bramki dla drużyny A; Rzut wolny dla drużyny A;Bez sygnału gwizdka; Po sygnale gwizdka;"";"";"";"";"";true;false;false;true;false;false;false;false;false
2.2;Natychmiast po automatycznym sygnale kończącym grę na zakończenie I połowy meczu sędziowie orientują się, że I połowa zakończyła się 1 minutę za wcześnie. Prawidłowa decyzja?; a) Przedłużyć II połowę o 1 minutę; 1 minuta nie jest rozgrywana; Po przerwie w meczu, rozegrać 1 minutę na wybranych na początku meczu stronach boiska, następnie zmienić strony boiska i rozegrać II połowę meczu; Zatrzymać drużyny na boisku i rozegrać brakującą minutę;"";"";"";"";"";false;false;false;true;false;false;false;false;false
2.3;A11 rzuca na bramkę. Bramkarz B1 łapie piłkę w momencie automatycznego sygnału kończącego grę. Sędziowie zwracają uwagę mierzącemu czas, że pozostało do rozegrania 30 sekund II połowy meczu. Wszyscy zawodnicy wciąż pozostają na boisku. W jaki sposób gra powinna się rozpocząć?; Rzut wolny dla drużyny B; Rzut od bramki dla drużyny B; Rzut wolny dla drużyny A ; Po sygnale gwizdka ; Bez sygnału gwizdka;"";"";"";"";false;true;false;true;false;false;false;false;false
2.4;Drużyna A zamierza wykonać rzut wolny po sygnale gwizdka kończącym grę. Najpierw A3, a następnie A4 opuszczają boisko i zostają zmienieni przez A5, a następnie na boisko wchodzi A6. Prawidłowa decyzja?; Mierzący czas daje sygnał gwizdkiem z powodu złej zmiany drużyny A; 2-minutowe wykluczenie dla A3 z powodu złej zmiany; 2-minutowe wykluczenie dla A6 z powodu złej zmiany; Nie ma powodu do interwencji mierzącego czas; Rzut wolny dla drużyny A;Rzut wolny dla drużyny B;"";"";"";true;false;true;false;true;false;false;false;false
2.5;Drużyna B chce wykonać rzut wolny, tuż przed końcem meczu, bezpośrednim rzutem na bramkę. Automatyczny sygnał kończący grę rozlega się tuż przed tym jak piłka wpada do bramki. Prawidłowa decyzja?; Koniec meczu; Rzut wolny dla drużyny B musi być powtórzony bez sygnału gwizdka; Rzut wolny dla drużyny B musi być powtórzony po sygnale gwizdkiem; Rzut karny dla drużyny B ;"";"";"";"";"";false;false;true;false;false;false;false;false;false
2.6;Na krótko przed końcem meczu B2 otrzymuje piłkę przy linii pola bramkowego drużyny A i ma sytuację pewną do zdobycia bramki. Próbuje zdobyć bramkę, lecz jest faulowany. Przed tym jak piłka opuszcza rękę B2 rozlega się automatyczny sygnał kończący grę. Prawidłowa decyzja?; Koniec meczu; Rzut wolny dla drużyny B; Rzut karny dla drużyny B; Koniec meczu, opis sytuacji w protokole;"";"";"";"";"";false;false;true;false;false;false;false;false;false
2.7;Na krótko przed końcem I połowy meczu A9, wykonując rzut karny, trafia w poprzeczkę, następnie piłka wraca do bramkarza, który stoi w okolicach 3m przed bramką, odbija się od jego głowy i trafia do bramki. Automatyczny sygnał kończący I połowę rozlega się, kiedy piłka jest w powietrzu pomiędzy poprzeczką, a placami bramkarza. Prawidłowa decyzja?; Bramka; Rzut karny musi zostać powtórzony; Przerwa w meczu żadnych innych decyzji;"";"";"";"";"";"";false;true;false;false;false;false;false;false;false
2.8;Po zakończeniu czasu gry, rzut karny musi zostać wykonany. Sędziowie czekają na efekt rzutu. Który z sędziów powinien zakończyć mecz?; Sędzia wpisany, jako pierwszy w protokole; Jeden z sędziów; Sędzia z pola gry; Sędzia bramkowy;"";"";"";"";"";false;true;false;false;false;false;false;false;false
